,text,topic
160,Tasche sieht optisch wirklich sehr schick aus. Leider ist sie nach dem ersten Tragen bereits kaputt gegangen. Auf Rückerstattung habe ich bis heute keine Antwort erhalten. Sehr ärgerlich! Leider nicht zu empfehlen...,Qualität
161,Schuhgröße wird kleiner als angegeben verschickt ergo die Schuhe passen nicht und man bekommt das Geld nicht zurück..... Alles Top? Mit nichten!,Passform
162,Habe eigentlich Grösse 39 und habe den Schuh in Grösse 40 bestellt. Der Schuh ist viel zu eng. Und irgendwie fühlt der Schuh sich auch billig an. Schade,Passform
163,Leider nach einigen Monaten schon defekt !,Qualität
164,Die Lieferung ist noch nicht erfolgt,Lieferung
165,"Die Sandalen sehen sehr hübsch aus, doch leider sind die Riemchen sehr dünn. Auch ist die Passform nicht optimal. Beim verschließen liegt der Riemen nichts mehr an. Die Sandale ist hübsch, aber irgendwie billig gemacht recht dünnes Leder, für eine Sandale die auch strapaziert wird ist dieses wenig vertrauensvoll. Sie ging zurück.",Passform
166,"Zu teuer, schlechte Qualität, n7cht zu empfehlen !!!",Qualität
167,"Die sehr knapp geschnittene, kleine Börse öffnet man mit zwei Druckknöpfen - meist mit dem falschen. Letztlich für mich unbrauchbar.",Qualität
168,"Ich warte jetzt schon eineinhalb monate und es tut sich gar nichts. Inder sendungsverfolgung steht nach wie vor, dass die Tasche am 9. Januar kommen soll. Nichts ist passiert. Habe den Verkäufer schon 2 mal angeschrieben und keinerlei Reaktion erhalten. Nicht zu empfehlen 😡",Lieferung
169,"Da meine Bestellung bislang nicht eingetroffen ist, kann ich zu dem Artikel nichts sagen... leider hat sich der Verkäufer bislang nicht zu dem Problem des nicht erhaltenen Artikels geäußert!",Lieferung
170,"Optisch ei sehr schöner Schuh. Leider nicht tragbar. Ich hab SG 43. hab ihn in der 44 und 44,5 ausprobiert. er ist einfach zu eng und fühlt sich wie ein ganz harter plastikschuh an... Schade hätte ihn gern getragen, weil er einfach richtig schick aussieht.",Passform
171,leider kann ich den Artikel nicht empfehlen. Nach nur ca. 10 Nutzungen in 12 Monaten ist der Schließmechanismus defekt und die Innenverkleidung abgerissen. Von außen sieht es aber noch aus wie neu (nützt nur leider nichts).,Qualität
172,die Stiefel sind nach vier wochen tragen die Sohle abgegangen sehr schlechte stiefel bin nur enttäuscht darüber werde nichts mehr bestellen,Qualität
173,"Leider muss ich feststellen, dass die Qualität der Schuhe nicht dem entspricht, was ich erwartet habe. Bereits nach 10 Wochen habe ich ein Loch im linken Schuh (s. Bild). Auch am rechten Schuh deutet sich bereits an gleicher Stelle ein weiteres Loch an. Habe die Schuhe im täglichen Gebrauch, aber sie sollten doch länger halten als 12 Wochen. Leider ist die Rücksendezeit bereits abgelaufen, sonst gingen sie umgehend zurück. Ansonsten ein bequemer leichter Schuh.",Qualität
174,"Extra 1 Nummer größer bestellt, trotzdem mindestens 2 Nummern zu klein..",Passform
175,Der Klettverschlüss am vorderen Riemen über den Zehen ist viel zu kurz. Er überlappt nur etwa 1 cm. Geht zurück.,Passform
176,Hausschuhe sind nach einer Woche kaputt gegangen!!,Qualität
177,Artikel nicht erhalten,Lieferung
178,Ärgerlich! Schuhe sind nicht aus Leder! Wahrscheinlich keine Originale!,Qualität
179,"Nache einem tag, die Füsse am knöchel aufgescheuert und permanent nasse Füsse. Habe mir die schuhe extra für mein russland trio bestellt, absoluter Reinfall",Qualität
180,Der Titel sagt schon alles. Sohle ist etwas zu eng aber okay. Der Sinn ist alles in Form zu halten und den Fuß zu unterstützen. Ist hier absolut nicht gegeben. Fußbett kriegt absolut NULL Halt und Unterstützung. Will mein Geld zurück :-(,Qualität
181,"Nach einem Tag völlig dünn und abgelaufen,und das für Stück ca, 4 Euro ,totaler Schrott ,bitte nicht kaufen, gehen zurück die Dinger..",Qualität
182,Die Sohle ist nicht wasserdicht. Im Schnee nasse Füße von unten,Qualität
183,Das ist ganz billige Ware für hier geliefert wird. Ich verstehe die Bewertungen hier nicht ansatzweise... Bitte Finger weg !,Qualität
184,"Kann mich den anderen leider nur anschließen. Die Schuhe passen garnicht, insbesondere auf der rechten Seite. Ging sofort zurück, da nicht zu gebrauchen!",Passform
185,Die Grössentabelle der Bestellung wird wiederholt nicht eingehalten,Passform
186,Die Qualität läßt zu wünschen übrig. Der Fuß hat keinerlei Stütze.,Qualität
187,"Ich bin zu faul ihn zurück zu schicken. Über 20€ zum Fenter rausgeschmissen. Ich habe 44 bestellt und habe ihn jetzt einer Frau geschenkt, die 39 hat und meint er passt perfekt. Sonst ist er anscheinend okay verarbeitet. Wer also einen Schuh größe 39 braucht kann 44 bestellen und kriegt dann was er will.",Passform
188,nach einem Jahr der erste Riss an der Oberseite der Sandale...,Qualität
189,"super bequem, ich trage sie zu fast allen Gelegenheiten, keine Druckstellen oder Blasen, auch nicht beim Einlaufen. Allerdings löst sich nach 1 Jahr Tragen die Schuhsohle vorne an der Spitze, das finde ich für Schuhe in dieser Preislage zu früh",Qualität
190,Sehr schade. Bekomme extreme Schweiß Füße von dem Produkt,Qualität
191,Extra grösser bestellt weil man mitlerweile weiß das crocs ein wenig kleiner ausfallen . Aber das eine 48/49 größe an einem gr.45 Fuß drückt geht ja garnicht . Ganz schnell Retour . Von daher Qualität ungenügend,Passform
192,"habe diesen spay bestellt, hat wunderbar funktioniert, also mehr davon bestellt. 2te lieferung imprägniert garnicht, habs auf verschiedenen schuhen getestet, das zeug hält etwa so viel wasser ab wie herkömmlicher haarspray. erwarte stellungnahme",Qualität
193,Rücksendung wurde nicht erstattet! Ich habe 4 Wochen auf die Lieferung gewartet und jetzt warte ich seit 2 Wochen auf mein Geld.,Lieferung
194,"Die Tasche sieht sehr billig und benutzt aus, als hätte sie jemand schon 10 Jahre getragen gehabt.",Qualität
195,Sieht nicht wie auf den Bildern aus. Die Schuhsohle ist nicht so angenehm,Qualität
196,"Es wird sich nicht an bezogene Liefertermine gehalten auf E-Mails meinerseits wann der Artikel denn nun geliefert wird, wird von seitens des Verkäufers nicht Reagiert! Werde bei diesem Händler nichtmehr bestellen !!! Denn auch nach mehreren Wochen ist immernoch keine Ware da die Bestellung erfolgte am 21.11.2017",Lieferung
197,Habe die Schuhe jetzt nicht übermäßig viel getragen aber mittlerweile hat sich bei einem der Kleber an der Sohle und beim anderen der Kleber der Riemen gelöst. Schade da hätte ich bei einem Markenprodukt echt mehr erwartet,Qualität
198,"Das Produkt (Schuhe) sahen auf Anhieb & qualitativ aus aber leider war dies nicht wirklich der Fall , nach ein paar mal tragen waren die Schuhe hin , hab dies auch den Anbieter geschrieben aber man wurde sofort abgewimmelt etc... ich werd dort nie wieder bestellen !",Qualität
199,Ganz schlechte Qualität. Einmal getragen und an beiden Stiefeln schon Löcher an der Schuhspitze. Rate vom Kauf ab!!,Qualität
200,Ich habe die Schuhe nicht erhalten und auch mein Geld nicht zurückbekommen.Kümmern Sie sich bitte darum!!!,Lieferung
201,"Qualität überzeugt nicht. Handschuhe waren bei Lieferung kaputt. Mütze fällt klein aus. Für den Preis hab ich sie einfach behalten, sonst hätte ich mir die Arbeit gemacht und sie umgeschickt.",Qualität
202,"Sehr schönes Design, leider ist die Sohle hart und rutschig. Und nach ein paar Wochen bekommt man bei Schnee matsch, nasse Socken.",Qualität
203,Hab mir nach rund 20 min die komplette Hacke blutig gescheuert :((,Qualität
204,"ich möchte die Schuhe zurück schicken weil sie viel zu eng sind ,habe aber noch kein Rücksendeettikett erhalten!! Bitte um Klärung!!",Passform
205,"Ich hatte das Produkt vor ein paar Jahren schon einmal erworben und war sehr zufrieden. Die neuen Pantoletten sind diesmal schon nach zwei Monaten eingerissen, obwohl ich sie nur wenig daheim trage. Ein starker Qualitätsverlust!",Qualität
206,"Schuhe sind wenn Neu sehr gut, aber nach einiger Zeit ( ca 1 Jahr ) bricht die Sohle , das war vor einigen Jahren besser, das geht so nicht , ich werde keine Rieker mehr kaufen, schade",Qualität
207,"Die ADIDAS Kratzen an den Rändern, sind mal zu klein",Passform
208,Ich behalte den Artikel obwohl er vorne etwas drückt.,Passform
209,"könnten Atmungsaktiver sein, bequem sind sie schon allerdings werden die Füße sehr schnell warm und schwitzig und gehen Extrem Schnell Kaputt !!!!!!",Qualität
210,"Vorsicht Leute! Optisch Top und gemütlich, aber nach 3mal tragen geht vorne die Gummisohle ab, habe da meine Zweifel ob es nicht B-ware ist. Kann echt nicht sein nach 3mal tragen.",Qualität
211,"Besitze mehrere Schuhe von dieser Marke, aber diese gefallen mir persönlich nicht. Zudem sind die die Laschen viel zu kurz und lösen sich immer wieder. Sorry, aber würde ich nicht mehr kaufen.",Qualität
212,"Ich bin wirklich unzufrieden wir habe die Hausschuhe nun 4 Wochen und er hat sie nur bei der Oma an, also nicht gerade oft. Und sie sind schon kaputt. Die Sohlen lösen sich vom Stoff. Kann es daher nicht weiter empfehlen.",Qualität
213,"Dieser Artikel ist das mit nach Hause nemen nicht wert.Warum dieser Schuh wurde nicht viel getragen,aber das Oberleder reist ,man müßte ja sein Geld zurück bekommen.Kann nur sagen Hände weg davon.",Qualität
214,"diesen Artikel habe ich im November gekauft , hat bis zum nächsten März gehalten . Reklamation wurde nicht anerkannt , angeblich falsche Behandlung , bzw mutwillige Zerstörung .",Qualität
215,Bei dem Preis sollte man wirklich keine Qualität erwarten . Lieder etwas mehr ausgeben und dafür etwas besseres kaufen,Qualität
216,Nach zwei Heißen Tagen am Pool sind die Schuhe von 41 auf 38 geschrumpft 😞,Qualität
217,"Habe diese Bänder in weiss seit etwa 8 Wochen in Gebrauch. Leider sind mir bis heute insgesamt 3 Bänder gerissen. Immer im Bereich der Oesen, und immer im beanspruchten Bereich (oben erste und zweite Schnürung). Ich werde nun versuchen, einen Gewährleistungsanspruch geltend zu machen.",Qualität
218,Die Schuhe sind toll ... Ich kann nur jedem raten der den reibungslosen Ablauf und Service von Amazon kennt hier nicht zu bestellen ... Warten auf Lieferung… Keine ordentliche Kommunikation mit dem Käufer möglich ... Antwortet nicht passend auf e Mails .. Und am Telefon wurde ich sogar absolut herablassend behandelt ...,Lieferung
219,"Mir missfällt das Produkt, da es nicht lange hält. Drei-viermal getragen, in den Nike Turnschuhen, schon lösen sie sich. Habe jetzt Löcher hinten.... Keine Kaufempfehlung!",Qualität
220,"Schuhe soweit in Ordnung!Leider quietscht der Schuh deutlich hörbar bei jedem Schritt, das auch nach Monaten. Sorry,das geht gar nicht...das nächste mal wieder Hummel Sneaker...",Qualität
221,"Schnelle Lieferung wie immer. Leider erkenne ich aber keine Verbesserung an den Schuhen. Ich würde sie nicht weiter empfehlen, da sie immer noch schlecht sind.",Qualität
222,Die Schuhe knarzen bei jedem Schritt. Das nervt total. Ständig wird man mit blöden Sprüchen darauf angesprochen,Qualität
223,schlechtester Schuh meines Lebens... auf beiden Seiten löst sich die Gummisohle - dazu reagiert der Marketplace-Verkäufer nicht / bin zutiefst von der Marke Jack&Jones enttäuscht - mal gespannt ob meine Beschwerde bei Jack&Jones direkt etwas bewirkt.,Qualität
224,Passt zwar wie erwartet. Update Krieg ein Ersatzprodukt laut Verkäufer Bin gespannt ob die neuen wirklich wasserdicht sind. Mein Sohn trägt die Schuhe sehr gerne weil sie bequem und sehr flauschig sind. Sofortige Reaktion durch Verköufer !! Auf deutsch auch das Ersatzprodukt ist eine Katastrophe!!! Beide im Müll entsorgt !,Qualität
225,Wo ist meine Suche Der Schuh ist noch nicht angekommen????,Lieferung
226,"Schnelle Lieferung, dennoch lässt die Verarbeitung zu wünschen übrig. Die Schuh fiel bereits nach kurzer Zeit auseinander. Nicht zu empfehlen.",Qualität
227,"Bereits an den Händler zurückgeschickt, allerdings gab es noch keine Bestätigung das die Ware angekommen ist, warte auf eine Antwort",Lieferung
228,Nach nur 4 Wochen getragen gehen die Schuhe total auseinander .Seht euch die Bilder an absolut nicht zu empfehlen nie und nimmer absolut nicht lasst die Finger von dem Artikel,Qualität
229,Sieht super aus passt auch aber ist leider nicht wasserdicht trotz Imprägnierung. Bei Rügen hat man nasse Füße ist leider sehr ärgerlich.,Qualität
230,"Bei dieser Tasche handelt es sich um eine Fälschung. Ich habe die Tasche und eine selbe Michael kors Tasche (anderer Lieferant) verglichen. Erst beim 2. Hinschauen sieht man dass die anders ist. Nähte dunkler ,keine Seriennummer, Tasche insgesamt dunkler als original. Eine sehr sehr gute Fälschung. Also Vorsicht!!!",Qualität
231,"Habe diese Schuhe bestellt und dachte die wären Original aber die Qualität ist mies und anhand der Sohle vor allem zb sieht man, dass sie Fake sind. Sehen am Fuß auch nicht besonders schön aus.",Qualität
232,"Die Schuhe selber sind super, sie sind leicht elastisch und sehr bequem nur die Verarbeitung lässt zu wünschen übrig die Sohle löst sich nach einer Woche ab...",Qualität
233,"es gibt eine größere Version (ich habe eine solche schon einmal bekommen). Bei der Bestellung finde ich aber keinen Link, um die Größte Variante zu wählen. Darum habe ich sie auch zurückgesendet, obwohl ich sie dringend gebraucht hätte",Passform
234,GeldBörse ist nie angekommen. Bei Kontaktaufnahme mit dem Verkäufer hieß es nur ich sollte mich gedulden. Schlechter Service nicht weiterzuempfehlen.,Lieferung
235,Habe jetzt einen direkten Vergleich. Habe mir das Paar in einem Crocs Geschäft gekauft und Zuhause verglichen. Aus irgendeinem Grund ist das Modell von Amazon viel breiter geschnitten. Also zurück. Dieses Problem hatte ich schon einmal. Crocs werde ich hier nicht mehr bestellen.,Passform
236,Das Produkt wurde in der falschen Größe geliefert.,Lieferung
237,"Sandalen waren zu klein, habe die Schlaufen nicht zubekommen daher mußte ich die Sandalen zurück schicken. Habe die Sandalen am 24.07.18 an Absender geschickt aber bis heute 15.08.18 keine Rückerstattung bekommen. Sollte man solche Firmen meiden.",Passform
238,Reine Chemie. Den Geruch würde man nie aus diesen Pantoffeln rausbekommen. Die Pantoffeln würde man wahrscheinlich im Normalfall für 2€ im Chinamarkt bekommen. Daher gingen sie direkt wieder zurück!,Qualität
239,Das Material ist billiges Gummi. Lieber etwas mehr ausgeben und dafür Qualität bekommen,Qualität
240,"Die Schuhe sind heute angekommen, leider wurden sie schon mal benutzt, die Verpackung war nicht original, an der Sohle kleben kleine Steinchen. Die innen Sohle ist voller Katzen oder Hunde Haaren. Sehr unangenehm. Mit keinem Wort wurde in der Beschreibung erwähnt das es sich um ein Produkt handelt, der schon mal benutzt worden ist.",Lieferung
241,"Die crocs haben anfänglich gepasst Dann sind sie geschrumpft Beide crocs Paare sind Größe 13 aber diese crocs sind mittlerweile nach 4 Monaten so klein geworden, dass meine Füße nicht mehr rein passen Sehr enttäuschend",Passform
242,Ich habe diesen Artikel Ende November bestellt und erst am 29.12. erhalten. Ich musste zum Zoll und hatte extra kosten. Leider konnte ich dieses Geschenk meinem Mann nicht zu Weihnachten schenken.,Lieferung
243,"Die Hausschuhe waren gut verarbeitet, aber viel zu klein. Wie kann man eine Größentabelle angeben und sich dann nicht dran halten? Katastrophe",Passform
244,"Finger weg vpn den Artikel, nach 2 Tagen ist die Farbe aus den Schuhen!",Qualität
245,"Abgesehen davon, dass die Schuhe zu klein sind, haben Sie dermaßen nach Chemie gestunken, dass ich sie sofort zurück geschickt habe",Qualität
246,Hallo die Fallen klein aus hab Größe 46 aber ich glaub das sind 44/45 schade Mit freundlichen grüßen Sultan Akbar,Passform
247,Schuhe sind an sich viel zu blass/hell! Der Armee style war in der Produktansicht längst nicht so hervorstechend wie in Natura. Zudem ist die harte Sohle mega unangenehm.,Qualität
248,Zurück geschickt. Sind zu klein und schlecht geschnitten,Passform
249,leider nach 2 Monaten schon undicht. Sehr Schade Rückgabefrist abgelaufen. Da werde ich wohl wieder bei der Konkurrenz bestellen müssen.,Qualität
250,"Bei meinen weißen Adidas NMD's hat es trotz Anwendung laut Anleitung kaum etwas gebracht. Schade, sind immer noch faltig",Qualität
251,Schuhe gehen nach ca. 3 Monaten kaputt. Bereich Sole 2 mal...,Qualität
252,Schade das der Schuh nur die Wärme für kurze Zeit hält. Nach wenigen Tagen sah man das sich die klebe löste und wo dann noch Schnee kam war ganz vorbei und der Schuh hatte vorne das Loch wo die klebe sich löste.,Qualität
253,Der Schuh war nicht 100 Prozent Baumwolle obwohl die Beschreibung es als reine Baumwolle darstellte.,Qualität
254,Preis überhöht für die Qualität des Schuhs.,Qualität
255,"schlechte Qualität schlechter Verkäufer trotz Gesamtpreis über 40,- keine kostenfreie Rücksendemöglichkeit meldet sich nicht, trotz mehrfacher Anfrage",Qualität
256,"Sehr geehrte Damen und Herren, Ich habe am 20.7 die Schuhen als Brautschuh getragen genau eine Stunde da haben die Absätze bzw.die Sohlen sich gelöst .Das dürfte nicht passieren am so einem Tag . Würde mich freuen wenn ich eine Entschädigung bekomme. Mit freundlichen Grüßen Silvia Gruber Pilz",Qualität
257,Schuh viel zu klein,Passform
258,Leider löste sich bei diesen paar der kleber auf der Seite!,Qualität
259,Mir gefallen die Schuhe überhaupt nicht! Bereits beim auspacken erkennt man die sehr schlechte Qualität! Nicht nur die Sohle ist qualitativ schlecht auch nie Nähte reißen nach einigen Tagen...,Qualität
260,"Achtung, Ware wurde nicht nie geliefert. Es handelt sich wohl um eine rene Abzocke",Lieferung
261,"Bisher noch nicht eingetroffen, sollte vor über einer Woche ankommen",Lieferung
262,Fällt unglaublich klein aus. Ich habe bereits Schuhe von Tamaris und dort auch immer die gleiche Größe aber diese waren viel zu klein,Passform
263,Die Hausschuhe habe ich am 10.01. Bestellt und sind heute am 21.03 immer noch nicht da.... auf Emails Antwortet keiner.... eine Frechheit würde ich niemanden empfehlen...,Lieferung
264,Reißverschluss ging nach 1 Woche kaputt. Dazu super unhandlich.,Qualität
265,die Hausschuhe passen gut aber hinten hat sich schon eine naht gelöst somit ist jetzt ein großes Loch da :(,Qualität
266,Ein wirklich schöner und bequemer Schuh aber leider hat sich nach einer Wäsche in der Waschmaschine der Kleber gelöst und unschön abgefärbt,Qualität
267,"Habe die Schuhe am 13.08.18 bei Hermes zurückgeschickt,und leider bis heute keine Geldrückerstattung bekommen ??? Siehe Foto-Quittung",Lieferung
268,"nach genau einem halben Jahr löst sich der Kleberand ab, sehr entäuschend für dieses Produkt, die Stiefel kann ich nur noch in dei Tonne schmeissen, da sie jetzt nicht mehr Wasserdicht sind.",Qualität
269,"Ich würde gerne keinen Stern geben, da leider die Sohlen nicht bei mir angekommen sind.Ich kann also keine Bewertung abgeben und wahrscheinlich ist der eine Stern auch nicht gerechtfertigt.",Lieferung
270,"Mal sehen,ob ich mich und meine Füsse anpassen können.Sie könnten im Zehenbereich etwas stabiler sein,um die Zehen besser an ihren Bestimmungsort zu führen.",Passform
271,"Der Schuh hat keine 3 Monate gehalten, dann löste sich die Sohle vorn bei einem Schuh ab.",Qualität
272,"Stiefel kamen Dank DPD leider nie an. Nach Kontakt mit dem Verkäufer wurde mir mitgeteilt, dass die Stiefel zurückgeschickt wurden und ich Sie erneut bestellen müsste, wenn ich sie haben möchte.",Lieferung
273,"Schuhe pass(t)en wunderbar, allerdings sind sie bereits nach 3 Monaten kaputt und die Nieten an der Schnalle raus. Habe von den (nicht gerade günstigen!) Hausschuhen wirklich mehr Qualität erwartet.",Qualität
274,Aber leider viel zu klein! Eine Nummer größer muss mindestens bestellt werden.,Passform
275,Schuhe waren zu klein und kann sie deßhalb nicht gebrauchen.,Passform
276,"Ziemlich weiche Sohle. Dieses führt dazu,das die Schuhe quietschen.",Qualität
277,"Verspätete Lieferung, falscher Artikel geliefert (Kinderschuhe anstatt Herrenschuhe, falsches Modell noch dazu) komplizierte Rücksendung da Verkäufer in UK",Lieferung
278,"Der Schuh hat zwar gut gepasst, aber der Zehentrenner war aus hartem Plastik und war beim Tragen äußerst unangenehm.",Passform
279,Ein wirklich wunderschöner Stiefel optisch und auch bequem. Leider habe ich ihn erst im Oktober bestellt und nun ist er kaputt. Hatte heute plötzlich nasse Füße.,Qualität
280,Am 03/18 Habe ich es gekauft.Qualität bin ich unzufrieden. Siehe Bilder,Qualität
281,Die Qualität entspricht auch bei dem kostengünstigen Preis in keiner Art und Weise den Erwartungen. Ich versuche seit bald einem Monat mein Geld wieder zu erhalten. Produkt und Verkäufer beides mangelhaft.,Qualität
282,Die Schuhe sehen sehr gut aus.. im ersten Moment.. aber innerhalb von zwei Monaten lösen sie sich auf...keine Kaufoption.,Qualität
283,der Schuh ist zu klein und die Sohle und an der Seite zu hart. Ist schon beim anziehen unangenehm,Passform
284,"Habe die Schuhe vor 5 Wochen bestellt, das ursprüngliche Lieferdatum ist bereits vergangen und die Schuhe sind immer noch nicht da! Frechheit!",Lieferung
285,"Diese Rezension bezieht sich auf den Verkäufer, nicht auf das Produkt! (Ich besitze bereits Zehentrenner von Birkenstock und diese liebe ich). Ich habe die Schuhe am 1.9. bestellt und bis heute 4.10. nicht erhalten. Der Betrag ist längst abgebucht und auf meine Nachricht an den Verkäufer hat bisher niemand geantwortet. Das erwarte ich als Amazon Prime Kunde anders.",Lieferung
286,"Zum ersten Sitzen die Schuhe perfekt muss ich sagen. Sie sind sehr bequem, allerdings sieht die Sohle nach 2 Wochen schon so wie auf dem Bild zu sehen ist aus leider. Deswegen gibt es nur ein Stern. Die Sohle ist völliger Schrott",Qualität
287,Leider sind die Schuhe absolut NICHT Wasserdicht,Qualität
288,"Bereits nach ca. 6 Monaten ist das Obermaterial defekt, der Schuh unbrauchbar.",Qualität
289,Schuhe zurück geschickt und jetzt behaupten Packet sei nicht angekommen.,Lieferung
290,Schuhe fallen sehr klein aus.,Passform
291,"Die Stiefel wurden lediglich bei nassem Wetter zum Hundespaziergang über die Wiesen getragen; nach nun 6 Monaten sind sie undicht und ich komme mit nassen Socken nach Hause. Das ist nicht das, was ich von einem Gummistiefel erwarte.",Qualität
292,leider sehr breit und unförmig. ,Passform
293,"Von der Passform her waren die Pantoffel knapp geschnitten, eher was für einen schmalen Fuß. Schade eigentlich.",Passform
294,Schrott nach ca 2 Monaten bei beiden Schuhen Sohlen gebrochen nur ein Gummi Gerüst Wasser läuft in den Schuh Laufleistung ca 20km Leder wie neu,Qualität
295,Habe leider nasse Füße vorne an näht läuft das Wasser hinein.,Qualität
296,Im Vergleich zu meinen vorhandenen Crocs fällt dieser hier 1-2 Nummern kleiner aus.,Passform
297,Nicht so gut wie ich dachte,Qualität
298,"erst musste ich zwei Wochen auf die Lieferung warten um dann festzustellen, dass mir ein paar Rollen Klebeband anstatt der Schuhe zugesendet würden.",Lieferung
299,Schuhe fallen eine Nr. größer aus ,Passform
300,"sehr schlechte Qualität: beim ersten Tragen haben sich zwei Metallösen gelöst, nach 2-3 Monaten haben sich auf beiden Seiten die Sohlen abgelöst.",Qualität
301,Nach einem Mal tragen ist schon ein Loch im Schuh. Schade und Geld.,Qualität
302,Ich warte seid 2 Monaten und jetzt bekomme ich eine naricht das mein Paket verloren gegangen ist !!! Nicht bestellen !!!,Lieferung
303,Leider zeigt sich beim Tragen dass die Farbe schnell abgeht und nach einem normalen Arbeitstag stinken die Schuhe extrem nach Ammoniak. Würde ich nicht nochmal kaufen.,Qualität
304,Mir sind die Schuhe zu eng! Hübsch sehen die Schuhe aus.,Passform
305,Schuhe quietschen kann man nicht tragen,Qualität
306,"Wir haben schon lange Jahre Crocs, aber bei den neuen Modellen scheint es Zufall zu sein, ob die Größe stimmt oder nicht. Dieses Modell in 42/43 sollte für meinen Mann sein und passte nicht mal mir mit 38/39. Ansonsten wären die Crocs prima, wenn auch der Aufdruck Made in Italy nicht mehr vorhanden ist, so wie das bei den alten Modellen der Fall war.",Passform
307,Schlechte Verarbeitung nach 4 Monaten war schon der Reißverschluss kaputt obwohl ich es immer sorgfältig auf und zu gemacht habe. Dürfte für diesen Preis nicht sein . Schade.,Qualität
308,"Zum einen ist der Schuh schmal geschnitten, ich trage die Schuhgröße 39 und mit dünnen Socken saß der Schuh schon sehr knapp, mit dicken Socken hatte ich Schwierigkeiten reinzukommen und als der Fuß dann drin war, hat es rundum gedrückt.",Passform
309,Nicht kaufen ist Mangelhaft !,Qualität
310,Leere Schachtel erhalten wohl vergessen ...,Lieferung
311,"Zwei mal gebunden, kaputt. Qualität ist nicht empfehlenswert. SCHADE!!!",Qualität
312,Sehr billig verarbeitet. Sowas habe ich noch nicht gesehen.,Qualität
313,Nicht mal 2 Wochen trägt mein kleiner die Schuhe Und schon sehen se aus an ob se 100 Jahre alt wären,Qualität
314,Die Schuhe fallen klein aus.,Passform
315,Das man sie 1.5 Nummer größer bestellen muss,Passform
316,Mir wurde wir bei einer anderen Käuferin das falsche zugeschickt und jetz soll ich noch Rücksende Gebühren bezahlen dafür das die ihre Arbeit nicht richtig machen !! Unverschämt,Lieferung
317,"Das Produkt kam hier nie an, angeblich wäre es angenommen worden, aber nicht mit meiner Unterschrift und ich wohne hier alleine. Bei den Nachbarn ist auch nichts.",Lieferung
318,Ich war eigentlich immer zufrieden mit diesem Modell. Aber nach 4 mal tragen hat die die Naht von der Zunge gelöst...,Qualität
319,"habe bereits vier Paar Schuhe die bisher alle passten in der Größe 7, nur diese leider nicht",Passform
320,Nach nicht ganz zwei Jahren hat sich leider die Sohle vom Schuh gelöst,Qualität
321,Statt den Hausschuhen sind diese Stiefel angekommen 😏,Lieferung
322,Zu klein die Qualität ist nicht die erwartet.,Qualität
323,Ich habe die Ware zurückgeschickt und warte noch auf mein Geld,Lieferung
324,Die schuhe sind leider nicht angekommen... habe aber sofort lein Geld zurück erhalten ohne Probleme,Lieferung
325,"Ich habe die Schuhe vor mehr als 1 Woche bestellt. Sie sind immer noch nicht eingetroffen, obwohl eine Lieferzeit von 2 Tagen angegeben war. Eine Trackingnummer gibt es auch nicht. Bei der nächsten Bestellung werde ich einen zuverlässigen Anbieter auswählen.",Lieferung
326,Undicht nur über einen nassen Rasen gegangen und schon nasse Füße. 🙈,Qualität
327,Nach 5 Tagen kaputt gegangen.....bin enttäuscht,Qualität
328,Hallo! Schuhe sind noch nicht angekommen!!!!,Lieferung
329,Bin unzufrieden. Es ist kein 39. Kauf lieber one size bigger.,Passform
330,"Das produkt wurde,bedingt durch das lieferunternehmen, nicht geliefert.. zeitraum def lieferung von 14 Tagen..",Lieferung
331,Am Anfang waren die schuhe sehr Super bin auf wolken gegangen war sehr zufrieden aber nach 7 oder 10 mal tragen sind sie durchgelaufen sehr schade bin enttäuscht,Qualität
332,Das Quietschen geht auch nach tagelangem tragen nicht weg. wird eher schlimmer! Untragbar!,Qualität
333,"Nach vier Wochen normalem Tragen ohne Bergtour oder ähnlichem, sind Löcher in den Sohlen und der Schuh ist seitlich aufgerissen. ",Qualität
334,Leider kamen die Schuhe nicht an und auch nach zwei Mails kam vom Verkäufer bisher keine Reaktion. Das Geld ist weg...,Lieferung
335,Nun ist trotzdem bei diesen Schuhen der linke Schuh schmaler als der rechte Schuh. Das drückt die Zehen zusammen und verursacht nach einer Stunde Laufen im Haus schon Schmerzen.,Passform
336,"Ich ärgere mich sehr! Du Schuhe werden 1cm kürzer und mindestens 1cm schmäler, wenn sie in der Sonne stehen z.B wenn ich beim Baden sie neben der Decke stehen lasse....",Passform
337,Auch wie bei den anderen Bewertungen musste ich leider feststellen das sich die Sohle anfängt sich zu lösen.,Qualität
338,"Kein Hinweis, dass die schuhe kleiner ausfallen",Passform
339,Kaum bis gar nicht flexibel! Leider auch unbequem.,Passform
340,waren eine andere Qualität des Artikels gewohnt.,Qualität
341,"Der Schuh hat eine üble Passform, ist unbequem und etwas zu klein, glücklicherweise könnte ich die Schuhe zurücksenden. Keine Kaufempfehlung.",Passform
342,An der Ferse sehr unbequem. Sehr unangenehm,Passform
343,"Der Artikel sollte vor einem Monat schon ankommen ,es kam nichts... keine antworten vom Verkäufer nichts. .",Lieferung
344,Viel zu klein geschnitten und zu eng selbst für schmale Füsse,Passform
